,pickup_year,pickup_month,pickup_day,pickup_dayofweek,pickup_time,pickup_location_code,dropoff_location_code,trip_distance,trip_length,fare_amount,fees_amount,tolls_amount,tip_amount,total_amount,payment_type
123,2016,1,1,5,3,4,3,8.90,764,25.00,0.80,5.54,0.00,31.34,2
124,2016,1,1,5,3,3,6,7.28,832,21.50,0.80,0.00,0.00,22.30,2
125,2016,1,1,5,3,3,4,11.10,1684,34.00,0.80,5.54,6.00,46.34,1
126,2016,1,1,5,3,4,2,18.20,1518,52.00,0.80,5.54,10.00,68.34,1
127,2016,1,1,5,3,2,4,19.03,1645,52.00,0.80,5.54,0.00,58.34,2
128,2016,1,1,5,3,3,4,10.95,1389,31.50,0.80,5.54,9.46,47.30,1
129,2016,1,1,5,3,4,2,17.80,2620,52.00,0.80,0.00,0.00,52.80,2
130,2016,1,1,5,3,2,1,13.62,2331,42.00,0.80,0.00,8.56,51.36,1
131,2016,1,1,5,3,2,1,13.72,2304,42.50,0.80,0.00,6.70,50.00,1
132,2016,1,1,5,3,2,4,18.20,1906,52.00,0.80,0.00,0.00,52.80,2
133,2016,1,1,5,3,4,2,17.00,2039,52.00,0.80,5.54,0.00,58.34,2
134,2016,1,1,5,3,4,3,8.93,1266,26.50,0.80,5.54,4.00,36.84,1
135,2016,1,1,5,3,2,4,18.80,1862,52.00,0.80,5.54,10.00,68.34,1
136,2016,1,1,5,3,4,2,17.48,1856,52.00,0.80,5.54,0.00,58.34,2
137,2016,1,1,5,3,3,4,8.88,1148,26.50,0.80,5.54,0.00,32.84,2
138,2016,1,1,5,3,4,2,17.20,1641,52.00,0.80,5.54,11.65,69.99,1
139,2016,1,1,5,3,3,4,7.90,855,23.00,0.80,5.54,7.30,36.64,1
140,2016,1,1,5,3,2,1,11.00,1766,33.50,0.80,0.00,5.00,39.30,1
141,2016,1,1,5,3,2,4,18.00,2376,52.00,0.80,0.00,0.00,52.80,2
142,2016,1,1,5,3,4,3,10.70,1634,32.50,0.80,0.00,6.65,39.95,1
143,2016,1,1,5,3,4,3,6.22,777,19.00,0.80,5.54,5.07,30.41,1
144,2016,1,1,5,3,3,1,7.00,1059,21.50,0.80,0.00,4.45,26.75,1
145,2016,1,1,5,3,4,2,17.23,1530,52.00,0.80,5.54,0.00,58.34,2
146,2016,1,1,5,3,4,2,14.90,1594,52.00,0.80,5.54,0.00,58.34,2
147,2016,1,1,5,3,3,2,12.12,1089,33.50,0.80,0.00,0.00,34.30,2
148,2016,1,1,5,3,2,4,19.70,2117,52.00,0.80,5.54,0.00,58.34,2
149,2016,1,1,5,3,4,2,18.22,1797,52.00,0.80,5.54,0.00,58.34,2
150,2016,1,1,5,3,4,2,17.54,2015,52.00,0.80,5.54,4.00,62.34,1
151,2016,1,1,5,3,3,3,0.00,33,0.01,0.30,0.00,0.00,0.31,4
152,2016,1,1,5,3,3,4,10.44,1141,30.00,0.80,5.54,0.00,36.34,2
153,2016,1,1,5,3,3,6,2.95,543,10.50,0.80,0.00,2.26,13.56,1
154,2016,1,1,5,3,2,4,20.90,4134,52.00,0.80,0.00,0.00,52.80,2
155,2016,1,1,5,3,2,4,19.40,2316,52.00,0.80,5.54,13.00,71.34,1
156,2016,1,1,5,3,3,4,10.66,1648,32.50,0.80,5.54,0.00,38.84,2
157,2016,1,1,5,3,4,2,17.03,1762,52.00,0.80,5.54,0.00,58.34,2
158,2016,1,1,5,3,2,6,5.70,978,19.50,0.80,0.00,0.00,20.30,2
159,2016,1,1,5,3,2,4,17.60,2330,52.00,0.80,0.00,0.00,52.80,2
160,2016,1,1,5,3,3,4,9.00,943,25.50,0.80,5.54,6.35,38.19,1
161,2016,1,1,5,3,4,2,17.20,1801,52.00,0.80,5.54,5.00,63.34,1
162,2016,1,1,5,3,2,4,19.29,2026,52.00,0.80,5.54,0.00,58.34,2
163,2016,1,1,5,3,4,2,18.30,2259,52.00,0.80,0.00,10.55,63.35,1
164,2016,1,1,5,3,2,6,14.20,2041,41.50,0.80,0.00,0.00,42.30,2
165,2016,1,1,5,3,4,2,16.60,1804,52.00,0.80,5.54,0.00,58.34,2
166,2016,1,1,5,3,2,4,16.60,1638,52.00,0.80,5.54,0.00,58.34,2
167,2016,1,1,5,3,4,3,12.12,2207,41.00,0.80,5.54,0.00,47.34,2
168,2016,1,1,5,3,4,2,15.86,1847,52.00,0.80,0.00,15.84,68.64,1
169,2016,1,1,5,3,2,4,18.32,3264,52.00,0.80,5.54,0.00,58.34,2
170,2016,1,1,5,3,3,4,10.23,1181,29.50,0.80,5.54,0.00,35.84,2
171,2016,1,1,5,3,2,4,20.53,2561,52.00,0.80,5.54,14.58,72.92,1
172,2016,1,1,5,3,4,2,17.03,2363,52.00,0.80,5.54,0.00,58.34,2
173,2016,1,1,5,3,4,2,16.71,1647,52.00,0.80,5.54,11.67,70.01,1
174,2016,1,1,5,3,2,4,18.50,2392,52.00,0.80,5.54,0.00,58.34,2
175,2016,1,1,5,3,2,4,17.90,1927,52.00,0.80,5.54,14.58,72.92,1
176,2016,1,1,5,3,2,1,12.24,2025,36.50,0.80,0.00,0.00,37.30,2
177,2016,1,1,5,3,2,6,12.60,1980,37.50,0.80,0.00,0.00,38.30,2
178,2016,1,1,5,3,4,3,10.24,1125,29.00,0.80,0.00,5.96,35.76,1
179,2016,1,1,5,3,4,2,16.90,1985,52.00,0.80,0.00,5.55,58.35,1
180,2016,1,1,5,3,2,1,14.05,2354,43.00,0.80,0.00,8.76,52.56,1
181,2016,1,1,5,3,2,4,19.60,2114,52.00,0.80,5.54,11.67,70.01,1
182,2016,1,1,5,3,3,4,8.90,1430,28.50,0.80,0.00,0.00,29.30,2
183,2016,1,1,5,3,4,3,11.13,1575,34.00,0.80,5.54,10.08,50.42,1
184,2016,1,1,5,3,3,4,10.90,1859,35.50,0.80,5.54,12.55,54.39,1
185,2016,1,1,5,3,3,4,9.10,847,26.00,0.80,0.00,0.00,26.80,2
186,2016,1,1,5,3,4,3,10.91,1373,32.00,0.80,5.54,0.00,38.34,2
187,2016,1,1,5,3,4,3,11.88,1665,34.00,0.80,5.54,8.07,48.41,1
188,2016,1,1,5,3,3,4,12.42,1554,36.00,0.80,0.00,7.36,44.16,1
189,2016,1,1,5,4,6,2,2.49,337,9.00,0.80,0.00,0.00,9.80,2
190,2016,1,1,5,4,2,6,6.80,1063,21.50,0.80,0.00,0.00,22.30,2
191,2016,1,1,5,4,4,3,14.67,1371,40.00,0.80,5.54,8.00,54.34,1
192,2016,1,1,5,4,2,4,18.91,2661,52.00,0.80,5.54,11.67,70.01,1
193,2016,1,1,5,4,2,4,18.15,2333,52.00,0.80,5.54,0.00,58.34,2
194,2016,1,1,5,4,3,1,13.09,1571,37.00,0.80,0.00,5.00,42.80,1
195,2016,1,1,5,4,2,1,20.80,2476,57.50,0.80,0.00,11.66,69.96,1
196,2016,1,1,5,4,3,4,10.66,1360,30.00,0.80,5.54,7.27,43.61,1
197,2016,1,1,5,4,2,4,18.17,1984,52.00,0.80,5.54,11.67,70.01,1
198,2016,1,1,5,4,2,4,18.21,2347,52.00,0.80,5.54,11.67,70.01,1
199,2016,1,1,5,4,3,6,5.03,26683,16.50,0.80,0.00,0.00,17.30,2
200,2016,1,1,5,4,4,2,18.70,2101,52.00,0.80,0.00,0.00,52.80,2
201,2016,1,1,5,4,2,2,34.50,3874,52.00,0.80,5.54,0.00,58.34,2
202,2016,1,1,5,4,3,4,8.85,1946,30.50,0.80,0.00,0.00,31.30,2
203,2016,1,1,5,4,4,2,21.20,2099,52.00,0.80,5.54,0.00,58.34,2
204,2016,1,1,5,4,2,2,1.20,426,7.00,1.80,0.00,2.64,11.44,1
205,2016,1,1,5,4,2,4,17.19,2594,52.00,0.80,5.54,14.58,72.92,1
206,2016,1,1,5,4,4,2,18.90,2004,52.00,0.80,5.54,0.00,58.34,2
207,2016,1,1,5,4,2,4,19.91,2073,52.00,0.80,0.00,10.56,63.36,1
208,2016,1,1,5,4,3,6,5.10,633,16.00,1.80,0.00,0.00,17.80,2
209,2016,1,1,5,4,3,4,8.41,1308,26.00,0.80,5.54,6.00,38.34,1
210,2016,1,1,5,4,3,4,9.80,1376,29.00,0.80,5.54,0.00,35.34,2
211,2016,1,1,5,4,3,4,10.10,1274,29.50,0.80,0.00,6.05,36.35,1
212,2016,1,1,5,4,4,3,12.95,1372,36.50,0.80,0.00,7.46,44.76,1
213,2016,1,1,5,4,4,3,10.40,1676,31.50,0.80,5.54,7.00,44.84,1
214,2016,1,1,5,4,2,4,20.30,2726,52.00,0.80,5.54,5.00,63.34,1
215,2016,1,1,5,4,4,3,9.18,1098,27.00,0.80,5.54,0.00,33.34,2
216,2016,1,1,5,4,2,1,11.20,1886,34.50,0.80,0.00,8.82,44.12,1
217,2016,1,1,5,4,3,1,7.22,943,21.50,0.80,0.00,0.00,22.30,2
218,2016,1,1,5,4,3,6,7.10,1123,22.00,0.80,0.00,1.00,23.80,1
219,2016,1,1,5,4,3,4,16.01,1510,43.00,0.80,5.54,9.87,59.21,1
220,2016,1,1,5,4,4,2,17.64,2093,52.00,0.80,5.54,0.00,58.34,2
221,2016,1,1,5,4,3,3,5.40,74,80.00,0.30,0.00,24.05,104.35,1
222,2016,1,1,5,4,2,4,16.60,1924,52.00,0.80,5.54,11.65,69.99,1
223,2016,1,1,5,4,2,4,18.49,2119,52.00,0.80,5.54,11.67,70.01,1
224,2016,1,1,5,4,3,6,3.46,765,13.50,0.80,0.00,0.00,14.30,2
225,2016,1,1,5,4,3,6,2.13,364,8.50,0.80,0.00,1.86,11.16,1
226,2016,1,1,5,4,2,4,17.65,2289,52.00,0.80,5.54,0.00,58.34,2
227,2016,1,1,5,4,3,4,12.30,1334,34.50,0.80,5.54,10.21,51.05,1
228,2016,1,1,5,4,3,4,9.30,1384,28.00,0.80,5.54,5.00,39.34,1
229,2016,1,1,5,4,2,1,24.60,2345,65.00,0.80,0.00,0.00,65.80,2
230,2016,1,1,5,4,2,4,19.70,2433,52.00,0.80,0.00,13.20,66.00,1
231,2016,1,1,5,4,2,6,2.50,451,9.50,1.80,0.00,2.25,13.55,1
232,2016,1,1,5,4,2,4,17.91,2077,52.00,0.80,5.54,11.67,70.01,1
233,2016,1,1,5,4,2,1,15.70,2076,44.50,0.80,0.00,5.00,50.30,1
234,2016,1,1,5,4,4,2,18.43,1795,52.00,0.80,0.00,0.00,52.80,2
235,2016,1,1,5,4,2,4,18.60,2548,52.00,0.80,5.54,0.00,58.34,2
236,2016,1,1,5,4,2,1,18.19,2114,50.00,0.80,0.00,5.00,55.80,1
237,2016,1,1,5,4,3,4,11.39,1577,34.00,0.80,5.54,9.00,49.34,1
238,2016,1,1,5,4,4,2,18.40,2293,52.00,0.80,0.00,0.00,52.80,2
239,2016,1,1,5,4,3,4,12.52,1431,35.50,0.80,5.54,0.00,41.84,2
240,2016,1,1,5,4,2,1,13.90,2320,42.50,0.80,0.00,0.00,43.30,2
241,2016,1,1,5,4,4,2,20.50,2043,52.00,0.80,5.54,5.00,63.34,1
242,2016,1,1,5,4,2,4,20.60,2279,52.00,0.80,5.54,0.00,58.34,2
243,2016,1,1,5,4,4,2,16.68,1525,52.00,0.80,5.54,0.00,58.34,2
244,2016,1,1,5,4,2,4,20.20,2437,52.00,0.80,5.54,11.65,69.99,1
245,2016,1,1,5,4,3,1,10.60,1589,32.50,1.80,0.00,6.85,41.15,1
246,2016,1,1,5,4,4,2,17.33,1456,52.00,0.80,5.54,0.00,58.34,2
247,2016,1,1,5,4,3,6,3.34,944,13.50,0.80,0.00,3.58,17.88,1
248,2016,1,1,5,4,3,1,9.81,1588,30.50,0.80,0.00,0.00,31.30,2
249,2016,1,1,5,4,2,4,19.30,2370,52.00,0.80,5.54,10.00,68.34,1
250,2016,1,1,5,4,3,1,7.62,853,22.00,0.80,0.00,3.00,25.80,1
251,2016,1,1,5,4,2,4,19.08,2363,52.00,0.80,5.54,7.00,65.34,1
252,2016,1,1,5,4,3,4,11.50,1628,34.50,0.80,5.54,8.15,48.99,1
253,2016,1,1,5,4,2,4,16.63,2235,52.00,0.80,5.54,0.00,58.34,2
254,2016,1,1,5,4,2,4,17.60,2497,52.00,0.80,5.54,0.00,58.34,2
255,2016,1,1,5,4,2,1,10.79,1588,32.00,0.80,0.00,0.00,32.80,2
256,2016,1,1,5,4,2,4,17.30,2236,52.00,0.80,0.00,10.55,63.35,1
257,2016,1,1,5,4,3,4,9.20,1274,28.00,1.80,5.54,0.00,35.34,2
258,2016,1,1,5,4,2,4,20.26,2354,52.00,0.80,5.54,11.67,70.01,1
259,2016,1,1,5,4,2,6,5.15,974,18.50,0.80,0.00,0.00,19.30,2
